,COD. IPRESS,NOMBRE IPRESS,PRODUCTO/SERVICIO,ENE21,FEB21,MAR21,ABR21,MAY21,JUN21,JUL21,AGO21,SEP21,OCT21,NOV21,DIC21
0,27214,CLINICA SAN PABLO AREQUIPA,ACETAFEN 500 mg TABLETA LA VICTORIA CAJA TAB x 100 /,0,0,0,0,0.41,0.41,0.41,0,0,0,0,0
1,9116,CLINICA SAN FELIPE S.A.,ACTEMRA 162 mg/0.9 mL INYECTABLE ROCHE FARMA JERINGA PRELLENADA X 0.9,1153.52,1153.52,1153.52,1153.52,1153.52,1153.52,1153.52,0,0,0,0,0
2,9886,CLINICA SAN BORJA,ACTEMRA 162 mg/0.9 mL INYECTABLE ROCHE FARMA JERINGA PRELLENADA X 0.9,1240.32,0,0,0,0,0,0,0,0,0,0,0
3,8398,CLINICA EL GOLF,ACTEMRA 162 mg/0.9 mL INYECTABLE ROCHE FARMA JERINGA PRELLENADA X 0.9,2038.02,2038.02,2038.02,2038.02,2038.02,2038.02,2038.02,0,0,0,0,0
4,8398,CLINICA EL GOLF,ACTEMRA 162 mg/0.9 mL INYECTABLE ROCHE FARMA JERINGA PRELLENADA X 0.9,2038.02,2038.02,2038.02,2038.02,2038.02,2038.02,2038.02,0,0,0,0,0
5,8398,CLINICA EL GOLF,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2463.85,2463.85,2463.85,2463.85,2463.85,2463.85,2463.85,0,0,0,0,0
6,10581,SANNA/SANCHEZ FERRER S.A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2559,2559,2559,2559,2559,2559,2559,0,0,0,0,0
7,13722,CLINICA AREQUIPA S.A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1911.83,1911.83,1911.83,1911.83,1911.83,1911.83,1911.83,0,0,0,0,0
8,13373,CLINICA PERUANO AMERICANA S. A.,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1738.7,1738.7,1738.7,1738.7,1738.7,1738.7,1738.7,1738.7,0,0,0,0
9,12975,CL ESPECIALIDADES MEDICAS,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,1680,1680,1725,0,1750,1750,0,0,0,0,0,0
10,27214,CLINICA SAN PABLO AREQUIPA,ACTEMRA 200 mg/10 mL INYECTABLE ROCHE FARMA VIAL X 10 ML x 1 /,2365.95,2365.95,0,0,0,0,0,0,0,0,0,0
